file,locatie,external_id,x_coord,y_coord,ground_elev,top_filter,bottom_filter
B39E0275001_1028_39EP0033001.csv,B39E0275,39EP0033001,169470.0,438600.0,558.0,366.0,258.0
B39E0275002_1028_39EP0033002.csv,B39E0275,39EP0033002,169470.0,438600.0,558.0,-234.0,-342.0
B39E2783001_1036_39E-2783001.csv,B39E2783,39E-2783001,168961.01,438676.98,676.0,496.0,396.0
B39E2784001_1036_39E-2784001.csv,B39E2784,39E-2784001,168261.55,438310.6,686.0,387.0,287.0
B39E2786001_1036_39E-2786001.csv,B39E2786,39E-2786001,168915.19,438055.08,722.0,485.0,385.0
B39F0300001_1028_39FP0300001.csv,B39F0300,39FP0300001,173033.92,438209.31,675.0,-1339.0,-1439.0
B39F0314001_1021_39FP0314001.csv,B39F0314,39FP0314001,179730.0,440420.0,781.3,-818.7,-1018.7
B39F0314002_1021_39FP0314002.csv,B39F0314,39FP0314002,179730.0,440420.0,781.3,-5618.7,-5818.7
B39F0327001_1021_39FP0327001.csv,B39F0327,39FP0327001,179240.4054,438690.7519,764.8,214.8,14.8
B39F0327002_1021_39FP0327002.csv,B39F0327,39FP0327002,179240.4054,438690.7519,764.8,-3735.2,-3935.2
B39F0578001_1021_39FP0578001.csv,B39F0578,39FP0578001,179982.81,439592.08,696.3,91.3,-0.7
B39F0578003_1021_39FP0578003.csv,B39F0578,39FP0578003,179982.81,439592.08,696.3,-4111.7,-4203.7
B39F0579001_1033_39FP0579001.csv,B39F0579,39FP0579001,176116.4,438721.0,800.0,-500.0,-700.0
B39F0579002_1033_39FP0579002.csv,B39F0579,39FP0579002,176116.4,438721.0,800.0,-3000.0,-5000.0
B39F0579005_1033_39FP0579005.csv,B39F0579,39FP0579005,176116.4,438721.0,800.0,-12000.0,-12200.0
B39F0579006_1033_39FP0579006.csv,B39F0579,39FP0579006,176116.4,438721.0,800.0,-20633.0,-20833.0
B39F0735001_1033_39F-0735001.csv,B39F0735,39F-0735001,176342.94,438354.87,789.0,584.0,484.0
B39F0736001_1028_39F-0736001.csv,B39F0736,39F-0736001,174758.27,438969.53,735.0,332.0,232.0
B39F0736002_1028_39F-0736002.csv,B39F0736,39F-0736002,174758.27,438969.53,735.0,-2457.0,-2657.0
B39F0736003_1028_39F-0736003.csv,B39F0736,39F-0736003,174758.27,438969.53,735.0,-3613.0,-3813.0
B39F0737001_1033_39F-0737001.csv,B39F0737,39F-0737001,175438.72,439404.0,729.0,256.0,156.0
B39F0737002_1033_39F-0737002.csv,B39F0737,39F-0737002,175438.72,439404.0,729.0,-1626.0,-1826.0
B39F0737003_1033_39F-0737003.csv,B39F0737,39F-0737003,175438.72,439404.0,729.0,-3237.0,-3437.0
B39F0738001_1033_39F-0738001.csv,B39F0738,39F-0738001,175920.0,439440.0,715.0,511.0,411.0
B39F0738002_1033_39F-0738002.csv,B39F0738,39F-0738002,175920.0,439440.0,715.0,111.0,-89.0
B39F0738003_1033_39F-0738003.csv,B39F0738,39F-0738003,175920.0,439440.0,715.0,-3888.0,-4088.0
B39F0739001_1028_39F-0739001.csv,B39F0739,39F-0739001,174210.0,439540.0,749.0,526.0,426.0
B39F0739002_1028_39F-0739002.csv,B39F0739,39F-0739002,174210.0,439540.0,749.0,-461.0,-661.0
B39F0739003_1028_39F-0739003.csv,B39F0739,39F-0739003,174210.0,439540.0,749.0,-3882.0,-4082.0
B39F0740001_1033_39F-0740001.csv,B39F0740,39F-0740001,177085.78,437712.9,755.0,547.0,447.0
B39F0740002_1033_39F-0740002.csv,B39F0740,39F-0740002,177085.78,437712.9,755.0,-47.0,-247.0
B39F0740003_1033_39F-0740003.csv,B39F0740,39F-0740003,177085.78,437712.9,755.0,-3505.0,-3705.0
B39F0741001_1033_39F-0741001.csv,B39F0741,39F-0741001,177261.93,438604.88,829.0,230.0,130.0
B39F0741002_1033_39F-0741002.csv,B39F0741,39F-0741002,177261.93,438604.88,829.0,-1111.0,-1311.0
B39F0741003_1033_39F-0741003.csv,B39F0741,39F-0741003,177261.93,438604.88,829.0,-3472.0,-3672.0
B39F0742001_1033_39F-0742001.csv,B39F0742,39F-0742001,178041.4,438183.6,812.0,14.0,-186.0
B39F0742002_1033_39F-0742002.csv,B39F0742,39F-0742002,178041.4,438183.6,812.0,-3543.0,-3743.0
B39F0743001_1031_39F-0743001.csv,B39F0743,39F-0743001,176690.66,440514.49,794.1,581.1,481.1
B39F0743002_1031_39F-0743002.csv,B39F0743,39F-0743002,176690.66,440514.49,794.1,-1033.9,-1233.9
B39F0743003_1031_39F-0743003.csv,B39F0743,39F-0743003,176690.66,440514.49,794.1,-3794.9,-3994.9
B39F0744001_1021_39F-0744001.csv,B39F0744,39F-0744001,178540.0,440560.0,769.6,576.6,476.6
B39F0744002_1021_39F-0744002.csv,B39F0744,39F-0744002,178540.0,440560.0,769.6,-206.4,-406.4
B39F0744003_1021_39F-0744003.csv,B39F0744,39F-0744003,178540.0,440560.0,769.6,-3718.4,-3918.4
B39F0745001_1021_39F-0745001.csv,B39F0745,39F-0745001,179133.95,438008.51,765.8,258.8,158.8
B39F0745002_1021_39F-0745002.csv,B39F0745,39F-0745002,179133.95,438008.51,765.8,-1888.2,-1988.2
B39F0745003_1021_39F-0745003.csv,B39F0745,39F-0745003,179133.95,438008.51,765.8,-6037.2,-6237.2
B39F0745004_1021_39F-0745-4.csv,B39F0745,39F-0745-4,179250.0,438060.0,765.8,-6927.2,-7227.2
B39F0746001_1033_39F-0746001.csv,B39F0746,39F-0746001,174525.0,438160.0,709.0,558.0,458.0
B39F0746002_1033_39F-0746002.csv,B39F0746,39F-0746002,174525.0,438160.0,709.0,-84.0,-284.0
B39F0747001_1031_39F-0747001.csv,B39F0747,39F-0747001,175456.7,438145.9,751.0,608.0,508.0
B39F0747002_1031_39F-0747002.csv,B39F0747,39F-0747002,175456.7,438145.9,751.0,-34.0,-234.0
B39F0748001_1033_39F-0748001.csv,B39F0748,39F-0748001,175972.8,438208.8,719.0,570.0,470.0
B39F0748002_1033_39F-0748002.csv,B39F0748,39F-0748002,175972.8,438208.8,719.0,-80.0,-280.0
B39F0749001_1033_39F-0749001.csv,B39F0749,39F-0749001,176042.17,437879.73,717.0,518.0,418.0
B39F0749002_1033_39F-0749002.csv,B39F0749,39F-0749002,176042.17,437879.73,717.0,-74.0,-274.0
B39F0750001_1033_39F-0750001.csv,B39F0750,39F-0750001,176300.0,438700.0,756.0,551.0,451.0
B39F0750002_1033_39F-0750002.csv,B39F0750,39F-0750002,176300.0,438700.0,756.0,-33.0,-233.0
B39F0751001_1021_39F-0751001.csv,B39F0751,39F-0751001,178240.0,439730.0,736.6,529.6,429.6
B39F0751002_1021_39F-0751002.csv,B39F0751,39F-0751002,178240.0,439730.0,736.6,-71.4,-271.4
B39F0752001_1031_39F-0752001.csv,B39F0752,39F-0752001,176408.87,438110.2,788.0,592.0,492.0
B39F0752002_1031_39F-0752002.csv,B39F0752,39F-0752002,176408.87,438110.2,788.0,-15.0,-215.0
B39F0753001_1021_39F-0753001.csv,B39F0753,39F-0753001,179816.68,438183.65,741.5,548.5,448.5
B39F0753002_1021_39F-0753002.csv,B39F0753,39F-0753002,179816.68,438183.65,741.5,23.5,-176.5
B39F0754001_1021_39F-0754001.csv,B39F0754,39F-0754001,179885.0,437900.0,756.0,578.0,478.0
B39F0754002_1021_39F-0754002.csv,B39F0754,39F-0754002,179885.0,437900.0,756.0,-25.0,-225.0
B39F0777001_1033_B39F0777001.csv,B39F0777,B39F0777001,177268.61,438572.86,717.0,500.0,450.0
B39F0802001_1021_39FL0061001.csv,B39F0802,39FL0061001,179730.0,440420.0,782.5,669.5,569.5
B39F0807001_1021_39FL0578001.csv,B39F0807,39FL0578001,179985.54,439591.97,706.0,497.0,405.0
B39F2948001_1034_39F-2948001.csv,B39F2948,39F-2948001,176989.0,440582.0,843.0,749.0,649.0
B39F2948002_1034_39F-2948002.csv,B39F2948,39F-2948002,176989.0,440582.0,843.0,560.0,450.0
B39F2949001_1034_39F-2949001.csv,B39F2949,39F-2949001,177397.0,439613.0,753.0,516.0,416.0
B39F2950001_1031_39F-2950001.csv,B39F2950,39F-2950001,177405.2,438264.86,784.0,529.0,429.0
B39F2950002_1031_39F-2950002.csv,B39F2950,39F-2950002,177405.2,438264.86,784.0,273.0,173.0
B39F2951001_1034_39F-2951001.csv,B39F2951,39F-2951001,179737.0,441252.0,796.0,603.0,503.0
B39F2951002_1034_39F-2951002.csv,B39F2951,39F-2951002,179737.0,441252.0,796.0,412.0,312.0
B39F2952001_1034_39F-2952001.csv,B39F2952,39F-2952001,177745.1,437977.0,769.0,492.0,392.0
B39F2953001_1034_39F-2953001.csv,B39F2953,39F-2953001,179448.18,441079.56,819.0,673.0,573.0
B39F2953002_1034_39F-2953002.csv,B39F2953,39F-2953002,179448.18,441079.56,819.0,523.0,423.0
B39F2954001_1034_39F-2954001.csv,B39F2954,39F-2954001,179060.09,441143.8,816.0,668.0,568.0
B39F2954002_1034_39F-2954002.csv,B39F2954,39F-2954002,179060.09,441143.8,816.0,497.0,397.0
B39F2955001_1034_39F-2955001.csv,B39F2955,39F-2955001,179942.6156,440757.4675,805.0,603.0,503.0
B39F2964001_1036_39F-2964001.csv,B39F2964,39F-2964001,171250.03,438028.63,742.0,551.0,451.0
B39F2965001_1036_39F-2965001.csv,B39F2965,39F-2965001,171536.58,437891.14,645.0,451.0,351.0
B39F2966001_1036_39F-2966001.csv,B39F2966,39F-2966001,172008.35,438124.64,705.0,505.0,405.0
B39F2966002_1036_39F-2966002.csv,B39F2966,39F-2966002,172008.35,438124.64,705.0,274.0,174.0
B39F2967001_1036_39F-2967001.csv,B39F2967,39F-2967001,172437.58,438002.57,717.0,471.0,371.0
B39F2968001_1036_39F-2968001.csv,B39F2968,39F-2968001,171920.08,438383.71,694.0,481.0,381.0
